"","anon_id","base_form_count work","base_form_count help","base_form_count walk","endsWith_s help","endsWith_s work","endsWith_s walk","endsWith_ing work","endsWith_ing help","endsWith_ed work","endsWith_ed help","endsWith_ed walk","total_inflected_words work","total_inflected_words help","total_inflected_words walk","inflection_ratio work","inflection_ratio help","inflection_ratio walk","gender","birth_year","native_language","language_used_at_home","non_native_language_1","yrs_of_study_lang1","study_in_classroom_lang1","ways_of_study_lang1","non_native_language_2","yrs_of_study_lang2","study_in_classroom_lang2","ways_of_study_lang2","non_native_language_3","yrs_of_study_lang3","study_in_classroom_lang3","ways_of_study_lang3","course_history","yrs_of_english_learning","yrs_in_english_environment","age"
"617","do6",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Female",1974,"Russian","Russian","French","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","5;11;18;24;29;105;117;153","less than 1 year","more than 5 years",31
"618","do7",1,5,0,2,0,0,5,0,1,0,0,9,8,0,0.518518518518518,0.111111111111111,0,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"619","do9",2,4,0,0,0,0,0,1,0,2,0,12,8,0,0,0.333333333333333,0,"Female",1985,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays","Arabic","more than 5 years","no","I lived in a country where they spoke Arabic","","none","no","other","662;663;664;665;666;743;744;745;746;747;797;798;801","less than 1 year","less than 1 year",25
"620","dp1",4,8,0,0,0,0,0,0,0,4,2,7,16,2,0,0.4,0.333333333333333,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"621","dp2",9,7,0,7,0,0,5,1,0,0,0,20,15,0,0.272727272727273,0.295454545454545,0,"Female",1970,"Turkish","Turkish","","","","","","","","","","","","","612;614;615;616;623;681;687;691;705;706;751;752;753;759;799;807;810;811","3-5 years","1-2 years",39
"622","dp3",0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"623","dp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Unknown",NA,"Korean","","","","","","","","","","","","","","","","",NA
"624","dp5",0,7,0,0,1,0,3,0,0,3,0,6,10,0,0.4,0.1,0,"Male",1988,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;other","Japanese","less than 1 year","yes","Studied grammar;Studied vocabulary;Listened to audio materials;Studied pronunciation","French","less than 1 year","yes","Studied grammar;Studied vocabulary;Listened to audio materials","460;461;464;487;488;523;524;527;543;544","more than 5 years","less than 1 year",20
"625","dp7",1,12,0,8,1,0,0,0,0,1,0,13,21,0,0.1,0.216666666666667,0,"Male",1977,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English","","","no","","","","no","","562;563;564;596;597;632;633;634;635;636;677;699;701","more than 5 years","3-5 years",32
"626","dp9",2,1,1,0,1,0,1,5,1,4,0,17,16,1,0.25,0.583333333333333,0,"Female",1986,"Other","Slovak;English","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","German","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes","","","no","","272;283;291;316;345;346;353;354;357;453;454","more than 5 years","more than 5 years",21
"627","dq0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"628","dq4",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Male",1991,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","555;556;559;577;578","more than 5 years","less than 1 year",18
"629","dq7",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"Female",1988,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","733;734;735;737","more than 5 years","3-5 years",22
"630","dq9",12,25,0,2,1,0,5,8,2,1,3,55,40,4,0.156862745098039,0.254901960784314,0.0882352941176471,"Female",1967,"Chinese","Chinese","English","3-5 years","no","I learned from my friend who is a native speaker","","","no","","","","no","","485;486;487;488;489;520;521;522;533;534;585;586;587;588;589;599;641;642;646;647;690;697;698;699;701","3-5 years","3-5 years",42
"631","dr0",0,0,0,0,0,0,0,0,0,0,0,2,1,0,NA,NA,NA,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"632","dr1",2,1,0,0,0,0,2,0,0,0,0,7,3,1,0.375,0,0,"Female",1972,"Spanish","Spanish;Portuguese","Portuguese","more than 5 years","no","Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Portuguese;other","English","3-5 years","yes","Had a native-speaker teacher;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","161;172;183;194;205","3-5 years","1-2 years",34
"633","dr2",0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"634","dr3",0,1,0,0,0,0,0,0,2,0,0,5,1,0,0.666666666666667,0,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"635","dr5",3,7,2,1,0,0,0,11,1,0,0,10,20,2,0.05,0.3125,0,"Male",1987,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","1;7;13;19;25;43;54;65;76;87;103;115;127;151;165;176;187;209","more than 5 years","less than 1 year",18
"636","dr8",1,0,0,1,0,0,0,0,1,0,0,2,1,0,0.5,0.5,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"637","ds0",1,2,1,0,0,0,2,0,0,0,1,7,2,2,0.333333333333333,0,0.166666666666667,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"638","ds2",5,0,0,0,0,0,1,0,0,0,0,7,0,0,0.1,0,0,"Male",1990,"Arabic","Arabic","Arabic","more than 5 years","no","I lived in a country where they spoke Arabic","","","no","","","","no","","508;509;510;511;512;556;565;567;568;569;613;622;631;634;635;677;678;681;715;729;735;736;737","1-2 years","less than 1 year",19
"639","ds3",2,7,0,7,0,0,2,0,0,0,1,8,14,1,0.166666666666667,0.296875,0.125,"Male",1976,"Arabic","Arabic","English","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Wrote paragrphs/essays","","","no","","","","no","","662;663;664;665;666;724;725;726;727;728;786;808","1-2 years","1-2 years",34
"640","ds5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Male",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"641","ds6",0,2,0,1,0,0,2,0,0,0,2,3,4,2,0.333333333333333,0.166666666666667,0.333333333333333,"Female",1984,"Arabic","Arabic;English","English","3-5 years","no","Studied by myself;I lived in a country where they spoke English","","","no","","","","no","","659;660;661;662;663;743;744;745;746;747;788;791;802;804;805","3-5 years","1-2 years",28
"642","ds8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Female",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"643","ds9",0,1,1,1,0,0,1,1,0,0,0,2,4,1,0.2,0.4,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"644","dt0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"645","dt1",1,6,0,0,0,0,0,0,1,1,0,11,7,0,0.166666666666667,0.166666666666667,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"646","dt3",0,5,0,1,0,0,1,1,3,0,0,5,7,0,0.444444444444444,0.222222222222222,0,"Female",1963,"Japanese","Japanese","German","more than 5 years","no","I lived in a country where they spoke German","French","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","285;296;347;355;356;394;398","more than 5 years","less than 1 year",44
"647","dt4",1,6,4,0,0,0,3,0,0,0,0,4,7,4,0.25,0,0,"Female",1980,"Chinese","Chinese","Chinese","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs)","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","213;224;235;246;257;272;283;294;316","more than 5 years","1-2 years",26
"648","dt5",1,0,0,0,0,0,1,2,1,0,0,5,2,0,0.666666666666667,0.333333333333333,0,"Male",1964,"Chinese","Chinese","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","99;111;123;147","more than 5 years","1-2 years",42
"649","dt6",4,9,0,1,0,0,0,0,0,0,0,5,10,0,0,0.0454545454545455,0,"Female",1982,"Taiwanese","Taiwanese;Chinese","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","Chinese","more than 5 years","no","Studied by myself;I lived in a country where they spoke Chinese","","","no","","274;285;296;318","more than 5 years","less than 1 year",24
"650","dt8",0,1,0,0,1,0,1,0,0,0,0,7,1,1,0.666666666666667,0,0,"Male",1988,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","French","less than 1 year","yes","Had a native-speaker teacher;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation","","","no","","770;773;774;775;776;860;861;862;863;864;922;923;926;944;945;1003;1004;1005;1006;1007","3-5 years","1-2 years",24
"651","du2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Female",1982,"Chinese","Chinese","","3-5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in no;Studied pronunciation;Practiced reading aloud","English","3-5 years","yes","Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud","","","no","","607;630;708;809","more than 5 years","none",28
"652","du3",1,1,0,0,0,0,1,0,2,0,0,6,1,0,0.625,0,0,"Male",1979,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","617;618;619;620;621;690;694;701","less than 1 year","less than 1 year",30
"653","du4",0,0,0,1,0,0,2,0,0,0,0,3,1,0,0.666666666666667,0.333333333333333,0,"Unknown",NA,"Korean","","","","","","","","","","","","","","","","",NA
"654","du5",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0.5,0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"655","du6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Male",1978,"Arabic","Arabic","English","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","Hebrew","less than 1 year","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","102;114;126;150;164;175;186;197;208","3-5 years","less than 1 year",28
"656","du7",2,1,0,1,0,0,5,0,2,3,0,15,5,0,0.722222222222222,0.444444444444444,0,"Female",1980,"Taiwanese","Chinese;Taiwanese","Chinese","more than 5 years","yes","Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","more than 5 years","no","Studied by myself","","","no","","273;284;293;317","more than 5 years","less than 1 year",26
"657","du8",1,0,0,0,2,0,0,0,2,0,0,6,1,0,0.8,0,0,"Male",1980,"Arabic","Arabic;English","English","3-5 years","yes","Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud","","","no","","","","no","","384;385;386;387;388","3-5 years","1-2 years",27
"658","du9",2,6,0,0,0,0,4,1,2,2,0,22,10,1,0.4,0.2,0,"Male",1973,"Chinese","Chinese","English","more than 5 years","no","Studied by myself","","","no","","","","no","","375;376;377;378;389;495;496;497;499;507","more than 5 years","more than 5 years",25
"659","dv0",0,1,0,0,0,0,1,0,0,0,0,2,1,0,0.5,0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"660","dv1",3,15,1,9,1,0,5,7,0,5,0,20,39,1,0.18,0.51,0,"Male",1981,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","415;416;417;418;419;489;490;491;492;493;533;534;537;580;581;589","none","none",27
"661","dv4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Male",1991,"Turkish","Turkish","German","3-5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","1-2 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs)","","","no","","562;563;564;596;597","1-2 years","none",18
"662","dv7",0,4,0,2,1,0,0,0,0,0,0,1,9,0,0.333333333333333,0.133333333333333,0,"Female",1973,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","430;431;432;433;434","less than 1 year","less than 1 year",35
"663","dv8",1,6,1,2,1,0,0,0,2,3,0,6,12,2,0.25,0.35,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"664","dv9",2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"665","dw0",2,6,1,4,1,0,3,1,0,4,0,11,16,1,0.285714285714286,0.428571428571429,0,"Male",1984,"Arabic","Arabic;English","Arabic","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Arabic;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","323;324;325;326;416;417;418;425;429;463;484;485;486;487;524;526;527;538;540","1-2 years","1-2 years",25
"666","dw2",0,3,0,0,0,0,2,3,2,0,0,7,8,0,0.5,0.25,0,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"667","dw3",2,4,0,0,0,0,2,0,1,0,1,6,4,1,0.25,0,0.166666666666667,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"668","dw6",1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,"Male",1973,"Arabic","Arabic","English","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","333;334;335;336;337;384;385;386;387;388","less than 1 year","more than 5 years",36
"669","dw7",4,4,0,0,0,0,1,0,2,0,1,7,4,1,0.333333333333333,0,0.111111111111111,"Female",1976,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes","","","no","","","","no","","432;433;434;490;524;642;647","3-5 years","none",32
"670","dw9",0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,"Female",1986,"Turkish","Turkish","English","less than 1 year","yes","Studied grammar;Had a native-speaker teacher;Practiced speaking in class","","","no","","","","no","","613;614;615;616;771;777;779","less than 1 year","1-2 years",23
"671","dx1",1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"672","dx2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"673","dx3",0,2,0,0,0,0,1,0,1,0,0,2,2,0,0.5,0,0,"Male",1988,"Arabic","Arabic;English","English","1-2 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","609;610;611;649;650;708;729;730;731;747;798;819","1-2 years","none",21
"674","dx4",1,4,0,1,0,0,9,0,0,3,0,10,11,0,0.5,0.333333333333333,0,"Female",1987,"Turkish","Turkish;English","English","1-2 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","607;608;609;610;611;682;683;684;685;686;803;806","1-2 years","1-2 years",23
"675","dx5",1,11,0,4,1,0,0,0,0,0,0,4,18,0,0.0714285714285714,0.178571428571429,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"676","dx6",0,4,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0.25,"Female",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"677","dx7",7,8,0,0,0,0,0,0,2,0,0,16,9,0,0.111111111111111,0,0,"Male",1968,"Arabic","Arabic","","","","","","","","","","","","","328;329;330;331;332;379;380;381;382;383","less than 1 year","less than 1 year",40
"678","dx8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"679","dx9",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"680","dy0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"681","dy4",0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"682","dy7",11,6,0,1,0,0,9,0,0,0,0,33,12,0,0.40625,0.0625,0,"Female",1978,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","Japanese","1-2 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud","","","no","","217;230;239;250;261;276;298;320","more than 5 years","less than 1 year",28
"683","dz0",1,0,0,0,0,0,1,0,2,0,1,7,0,1,0.833333333333333,0,0.333333333333333,"Female",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"684","dz1",0,1,0,1,0,0,0,0,0,1,0,0,6,0,0,0.666666666666667,0,"Male",1981,"Arabic","Arabic","Arabic","more than 5 years","no","I lived in a country where they spoke Arabic","English","more than 5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays","","","no","","491;492;493;494;500;533;534;535;536;537","more than 5 years","3-5 years",27
"685","dz3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Male",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"686","dz5",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Female",NA,"Japanese","","","","","","","","","","","","","","","","",NA
"687","dz7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Female",1986,"Korean","Korean","English","more than 5 years","no","other","","","no","","","","no","","277;288;299;321;355;363","more than 5 years","none",20
"688","dz8",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Female",1975,"Chinese","Chinese","English","less than 1 year","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","291;313;328;329","more than 5 years","none",32
"689","dz9",9,11,0,2,0,0,35,0,4,0,0,50,15,0,0.638888888888889,0.0416666666666667,0,"Female",1977,"Japanese","Japanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes","","","no","","","","no","","217;228;239;250;261;277;287;298;320","more than 5 years","less than 1 year",30
"690","ea0",0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,"Unknown",NA,"Chinese","","","","","","","","","","","","","","","","",NA
"691","ea2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Female",1976,"Other","Urdu","","","","","","","","","","","","","432;433;440;441;444","more than 5 years","more than 5 years",32
"692","ea3",4,0,0,0,0,0,0,0,2,0,0,6,0,0,0.333333333333333,0,0,"Male",1977,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","","","no","","","","no","","104;116;126;152","more than 5 years","none",29
"693","ea4",0,11,0,5,6,0,4,1,4,3,0,27,21,0,0.5,0.307692307692308,0,"Male",1975,"Korean","Korean;Farsi","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","German","1-2 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes","Japanese","more than 5 years","no","Studied by myself;other","269;280;293;313;338;339;340;341;342;389;390;391;392;393","more than 5 years","more than 5 years",31
"694","ea5",4,5,0,0,0,0,3,0,0,0,1,28,6,1,0.208333333333333,0,0.0833333333333333,"Female",1979,"Taiwanese","Taiwanese","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation","","","no","","","","no","","98;110;122;146;162;173;184;206","more than 5 years","none",27
"695","ea7",3,2,0,0,0,0,3,0,0,2,0,6,6,0,0.416666666666667,0.111111111111111,0,"Female",1974,"Spanish","Spanish","English","3-5 years","yes","Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays","","","no","","","","no","","2;8;14;20;26;45;59;67;78;92;118;154","less than 1 year","less than 1 year",31
"696","ea9",4,67,3,18,0,0,4,0,0,4,0,22,102,6,0.0925925925925926,0.246090534979424,0,"Male",1982,"Arabic","Arabic","English","more than 5 years","yes","Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","528;529;530;531;532;590;591;592;593;594;637;638;640","more than 5 years","3-5 years",26
"697","eb3",0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"698","eb4",0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"699","eb5",1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"700","eb6",3,27,0,2,0,0,0,0,0,0,0,8,35,0,0,0.0196078431372549,0,"Male",1992,"Chinese","Chinese;English","English","3-5 years","yes","Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays","","","no","","","","no","","607;633;634;635;651;687;691;751","3-5 years","less than 1 year",17
"701","eb7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Female",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"702","eb9",0,1,0,1,0,0,1,0,0,0,0,3,3,0,0.333333333333333,0.333333333333333,0,"Female",1982,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary","Japanese","1-2 years","yes","Studied grammar;Studied vocabulary","","","no","","384;385;386;387;388;440;441;444;453;454","more than 5 years","none",25
"703","ec0",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"Male",NA,"Russian","","","","","","","","","","","","","","","","",NA
"704","ec1",0,4,0,3,1,0,1,0,1,1,0,3,10,0,0.428571428571429,0.5,0,"Female",NA,"Korean","","","","","","","","","","","","","","","","",NA
"705","ec5",5,4,1,0,0,0,0,0,0,1,1,7,5,2,0,0.125,0.125,"Female",1963,"Chinese","Chinese","","","","","","","","","","","","","719;720;721;722;723;772;774;785;813;819;858;859;869;870","less than 1 year","more than 5 years",47
"706","ec7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Male",NA,"Arabic","","","","","","","","","","","","","","","","",NA
"707","ec9",0,6,4,0,0,0,3,0,1,1,0,4,11,4,0.4,0.1,0,"Male",1972,"Korean","Korean;English","English","more than 5 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","German","1-2 years","yes","Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;other","","","no","","219;230;241;252;263","more than 5 years","less than 1 year",35
"708","ed1",13,3,0,6,0,0,3,0,2,1,0,18,10,0,0.113690476190476,0.5,0,"Male",1985,"Korean","Korean","English","more than 5 years","yes","Studied grammar;Studied vocabulary","","","no","","","","no","","738;739;740;741;742;803","more than 5 years","less than 1 year",25
